scene_id,scene_family,condition_key,target_object_id,n,ACCESSIBLE,BLOCKED,INVALID,positive_rate,unanimous,v18_accessible
scene_translate_v01,TRANSLATE,C1,67,5,0,5,0,0.0,True,0
scene_translate_v02,TRANSLATE,C1,45,5,5,0,0,1.0,True,0
scene_translate_v03,TRANSLATE,C1,18,5,5,0,0,1.0,True,1
scene_translate_v04,TRANSLATE,C1,13,5,5,0,0,1.0,True,0
scene_translate_v05,TRANSLATE,C1,54,5,5,0,0,1.0,True,0
scene_fc_blocked_v01,FC_BLOCKED,C2_D4,64,5,5,0,0,1.0,True,5
scene_fc_blocked_v02,FC_BLOCKED,C2_D4,53,5,5,0,0,1.0,True,1
scene_fc_blocked_v03,FC_BLOCKED,C2_D4,12,5,5,0,0,1.0,True,5
scene_fc_blocked_v04,FC_BLOCKED,C2_D4,89,5,5,0,0,1.0,True,5
scene_fc_blocked_v05,FC_BLOCKED,C2_D4,59,5,5,0,0,1.0,True,0
scene_fc_clear_v01,FC_CLEAR,C2_D4,53,5,5,0,0,1.0,True,5
scene_fc_clear_v02,FC_CLEAR,C2_D4,29,5,5,0,0,1.0,True,5
scene_fc_clear_v03,FC_CLEAR,C2_D4,95,5,5,0,0,1.0,True,5
scene_fc_clear_v04,FC_CLEAR,C2_D4,61,5,5,0,0,1.0,True,5
scene_fc_clear_v05,FC_CLEAR,C2_D4,62,5,5,0,0,1.0,True,5
scene_lift_and_relocate_v01,LIFT_AND_RELOCATE,C2_D4,59,5,5,0,0,1.0,True,0
scene_lift_and_relocate_v02,LIFT_AND_RELOCATE,C2_D4,70,5,5,0,0,1.0,True,0
scene_lift_and_relocate_v03,LIFT_AND_RELOCATE,C2_D4,12,5,5,0,0,1.0,True,0
scene_lift_and_relocate_v04,LIFT_AND_RELOCATE,C2_D4,68,5,2,3,0,0.4,False,0
scene_lift_and_relocate_v05,LIFT_AND_RELOCATE,C2_D4,43,5,1,4,0,0.2,False,0
scene_rotate_v01,ROTATE,C2_D4,12,5,5,0,0,1.0,True,0
scene_rotate_v02,ROTATE,C2_D4,38,5,5,0,0,1.0,True,5
scene_rotate_v03,ROTATE,C2_D4,83,5,5,0,0,1.0,True,5
scene_rotate_v04,ROTATE,C2_D4,47,5,5,0,0,1.0,True,2
scene_rotate_v05,ROTATE,C2_D4,44,5,5,0,0,1.0,True,0
scene_translate_v01,TRANSLATE,C2_D4,67,5,0,5,0,0.0,True,0
scene_translate_v02,TRANSLATE,C2_D4,45,5,5,0,0,1.0,True,0
scene_translate_v03,TRANSLATE,C2_D4,18,5,5,0,0,1.0,True,0
scene_translate_v04,TRANSLATE,C2_D4,13,5,5,0,0,1.0,True,0
scene_translate_v05,TRANSLATE,C2_D4,54,5,5,0,0,1.0,True,0
scene_fc_blocked_v01,FC_BLOCKED,C2_D8,64,5,5,0,0,1.0,True,5
scene_fc_blocked_v02,FC_BLOCKED,C2_D8,53,5,5,0,0,1.0,True,2
scene_fc_blocked_v03,FC_BLOCKED,C2_D8,12,5,5,0,0,1.0,True,5
scene_fc_blocked_v04,FC_BLOCKED,C2_D8,89,5,5,0,0,1.0,True,1
scene_fc_blocked_v05,FC_BLOCKED,C2_D8,59,5,5,0,0,1.0,True,0
scene_fc_clear_v01,FC_CLEAR,C2_D8,53,5,5,0,0,1.0,True,5
scene_fc_clear_v02,FC_CLEAR,C2_D8,29,5,5,0,0,1.0,True,5
scene_fc_clear_v03,FC_CLEAR,C2_D8,95,5,5,0,0,1.0,True,5
scene_fc_clear_v04,FC_CLEAR,C2_D8,61,5,5,0,0,1.0,True,5
scene_fc_clear_v05,FC_CLEAR,C2_D8,62,5,5,0,0,1.0,True,5
scene_lift_and_relocate_v01,LIFT_AND_RELOCATE,C2_D8,59,5,5,0,0,1.0,True,0
scene_lift_and_relocate_v02,LIFT_AND_RELOCATE,C2_D8,70,5,5,0,0,1.0,True,0
scene_lift_and_relocate_v03,LIFT_AND_RELOCATE,C2_D8,12,5,5,0,0,1.0,True,0
scene_lift_and_relocate_v04,LIFT_AND_RELOCATE,C2_D8,68,5,5,0,0,1.0,True,0
scene_lift_and_relocate_v05,LIFT_AND_RELOCATE,C2_D8,43,5,5,0,0,1.0,True,0
scene_rotate_v01,ROTATE,C2_D8,12,5,5,0,0,1.0,True,0
scene_rotate_v02,ROTATE,C2_D8,38,5,5,0,0,1.0,True,0
scene_rotate_v03,ROTATE,C2_D8,83,5,5,0,0,1.0,True,1
scene_rotate_v04,ROTATE,C2_D8,47,5,5,0,0,1.0,True,5
scene_rotate_v05,ROTATE,C2_D8,44,5,5,0,0,1.0,True,0
scene_translate_v01,TRANSLATE,C2_D8,67,5,0,5,0,0.0,True,0
scene_translate_v02,TRANSLATE,C2_D8,45,5,5,0,0,1.0,True,0
scene_translate_v03,TRANSLATE,C2_D8,18,5,5,0,0,1.0,True,0
scene_translate_v04,TRANSLATE,C2_D8,13,5,5,0,0,1.0,True,0
scene_translate_v05,TRANSLATE,C2_D8,54,5,5,0,0,1.0,True,1
scene_fc_blocked_v01,FC_BLOCKED,C3_D4,64,5,5,0,0,1.0,True,5
scene_fc_blocked_v02,FC_BLOCKED,C3_D4,53,5,5,0,0,1.0,True,5
scene_fc_blocked_v03,FC_BLOCKED,C3_D4,12,5,5,0,0,1.0,True,5
scene_fc_blocked_v04,FC_BLOCKED,C3_D4,89,5,5,0,0,1.0,True,5
scene_fc_blocked_v05,FC_BLOCKED,C3_D4,59,5,5,0,0,1.0,True,5
scene_fc_clear_v01,FC_CLEAR,C3_D4,53,5,5,0,0,1.0,True,5
scene_fc_clear_v02,FC_CLEAR,C3_D4,29,5,5,0,0,1.0,True,5
scene_fc_clear_v03,FC_CLEAR,C3_D4,95,5,5,0,0,1.0,True,5
scene_fc_clear_v04,FC_CLEAR,C3_D4,61,5,5,0,0,1.0,True,5
scene_fc_clear_v05,FC_CLEAR,C3_D4,62,5,5,0,0,1.0,True,5
scene_lift_and_relocate_v01,LIFT_AND_RELOCATE,C3_D4,59,5,5,0,0,1.0,True,1
scene_lift_and_relocate_v02,LIFT_AND_RELOCATE,C3_D4,70,5,5,0,0,1.0,True,5
scene_lift_and_relocate_v03,LIFT_AND_RELOCATE,C3_D4,12,5,5,0,0,1.0,True,1
scene_lift_and_relocate_v04,LIFT_AND_RELOCATE,C3_D4,68,5,5,0,0,1.0,True,0
scene_lift_and_relocate_v05,LIFT_AND_RELOCATE,C3_D4,43,5,5,0,0,1.0,True,0
scene_rotate_v01,ROTATE,C3_D4,12,5,5,0,0,1.0,True,2
scene_rotate_v02,ROTATE,C3_D4,38,5,5,0,0,1.0,True,0
scene_rotate_v03,ROTATE,C3_D4,83,5,5,0,0,1.0,True,5
scene_rotate_v04,ROTATE,C3_D4,47,5,5,0,0,1.0,True,2
scene_rotate_v05,ROTATE,C3_D4,44,5,5,0,0,1.0,True,2
scene_translate_v01,TRANSLATE,C3_D4,67,5,5,0,0,1.0,True,0
scene_translate_v02,TRANSLATE,C3_D4,45,5,5,0,0,1.0,True,5
scene_translate_v03,TRANSLATE,C3_D4,18,5,5,0,0,1.0,True,2
scene_translate_v04,TRANSLATE,C3_D4,13,5,5,0,0,1.0,True,0
scene_translate_v05,TRANSLATE,C3_D4,54,5,5,0,0,1.0,True,5
scene_fc_blocked_v01,FC_BLOCKED,C3_D8,64,5,5,0,0,1.0,True,5
scene_fc_blocked_v02,FC_BLOCKED,C3_D8,53,5,5,0,0,1.0,True,5
scene_fc_blocked_v03,FC_BLOCKED,C3_D8,12,5,5,0,0,1.0,True,5
scene_fc_blocked_v04,FC_BLOCKED,C3_D8,89,5,5,0,0,1.0,True,5
scene_fc_blocked_v05,FC_BLOCKED,C3_D8,59,5,5,0,0,1.0,True,5
scene_fc_clear_v01,FC_CLEAR,C3_D8,53,5,5,0,0,1.0,True,5
scene_fc_clear_v02,FC_CLEAR,C3_D8,29,5,5,0,0,1.0,True,5
scene_fc_clear_v03,FC_CLEAR,C3_D8,95,5,5,0,0,1.0,True,5
scene_fc_clear_v04,FC_CLEAR,C3_D8,61,5,5,0,0,1.0,True,5
scene_fc_clear_v05,FC_CLEAR,C3_D8,62,5,5,0,0,1.0,True,5
scene_lift_and_relocate_v01,LIFT_AND_RELOCATE,C3_D8,59,5,5,0,0,1.0,True,3
scene_lift_and_relocate_v02,LIFT_AND_RELOCATE,C3_D8,70,5,5,0,0,1.0,True,5
scene_lift_and_relocate_v03,LIFT_AND_RELOCATE,C3_D8,12,5,5,0,0,1.0,True,5
scene_lift_and_relocate_v04,LIFT_AND_RELOCATE,C3_D8,68,5,5,0,0,1.0,True,0
scene_lift_and_relocate_v05,LIFT_AND_RELOCATE,C3_D8,43,5,5,0,0,1.0,True,1
scene_rotate_v01,ROTATE,C3_D8,12,5,5,0,0,1.0,True,0
scene_rotate_v02,ROTATE,C3_D8,38,5,5,0,0,1.0,True,0
scene_rotate_v03,ROTATE,C3_D8,83,5,5,0,0,1.0,True,1
scene_rotate_v04,ROTATE,C3_D8,47,5,5,0,0,1.0,True,2
scene_rotate_v05,ROTATE,C3_D8,44,5,5,0,0,1.0,True,2
scene_translate_v01,TRANSLATE,C3_D8,67,5,5,0,0,1.0,True,0
scene_translate_v02,TRANSLATE,C3_D8,45,5,5,0,0,1.0,True,5
scene_translate_v03,TRANSLATE,C3_D8,18,5,5,0,0,1.0,True,5
scene_translate_v04,TRANSLATE,C3_D8,13,5,5,0,0,1.0,True,0
scene_translate_v05,TRANSLATE,C3_D8,54,5,5,0,0,1.0,True,2
scene_fc_blocked_v01,FC_BLOCKED,C4_D4,64,5,5,0,0,1.0,True,5
scene_fc_blocked_v02,FC_BLOCKED,C4_D4,53,5,5,0,0,1.0,True,5
scene_fc_blocked_v03,FC_BLOCKED,C4_D4,12,5,5,0,0,1.0,True,5
scene_fc_blocked_v04,FC_BLOCKED,C4_D4,89,5,5,0,0,1.0,True,5
scene_fc_blocked_v05,FC_BLOCKED,C4_D4,59,5,5,0,0,1.0,True,5
scene_fc_clear_v01,FC_CLEAR,C4_D4,53,5,5,0,0,1.0,True,5
scene_fc_clear_v02,FC_CLEAR,C4_D4,29,5,5,0,0,1.0,True,5
scene_fc_clear_v03,FC_CLEAR,C4_D4,95,5,5,0,0,1.0,True,5
scene_fc_clear_v04,FC_CLEAR,C4_D4,61,5,5,0,0,1.0,True,5
scene_fc_clear_v05,FC_CLEAR,C4_D4,62,5,5,0,0,1.0,True,5
scene_lift_and_relocate_v01,LIFT_AND_RELOCATE,C4_D4,59,5,5,0,0,1.0,True,0
scene_lift_and_relocate_v02,LIFT_AND_RELOCATE,C4_D4,70,5,5,0,0,1.0,True,1
scene_lift_and_relocate_v03,LIFT_AND_RELOCATE,C4_D4,12,5,5,0,0,1.0,True,2
scene_lift_and_relocate_v04,LIFT_AND_RELOCATE,C4_D4,68,5,0,5,0,0.0,True,0
scene_lift_and_relocate_v05,LIFT_AND_RELOCATE,C4_D4,43,5,5,0,0,1.0,True,0
scene_rotate_v01,ROTATE,C4_D4,12,5,5,0,0,1.0,True,0
scene_rotate_v02,ROTATE,C4_D4,38,5,1,4,0,0.2,False,0
scene_rotate_v03,ROTATE,C4_D4,83,5,4,1,0,0.8,False,0
scene_rotate_v04,ROTATE,C4_D4,47,5,5,0,0,1.0,True,3
scene_rotate_v05,ROTATE,C4_D4,44,5,5,0,0,1.0,True,3
scene_translate_v01,TRANSLATE,C4_D4,67,5,5,0,0,1.0,True,0
scene_translate_v02,TRANSLATE,C4_D4,45,5,5,0,0,1.0,True,5
scene_translate_v03,TRANSLATE,C4_D4,18,5,5,0,0,1.0,True,5
scene_translate_v04,TRANSLATE,C4_D4,13,5,5,0,0,1.0,True,0
scene_translate_v05,TRANSLATE,C4_D4,54,5,5,0,0,1.0,True,2
scene_fc_blocked_v01,FC_BLOCKED,C4_D8,64,5,5,0,0,1.0,True,5
scene_fc_blocked_v02,FC_BLOCKED,C4_D8,53,5,5,0,0,1.0,True,5
scene_fc_blocked_v03,FC_BLOCKED,C4_D8,12,5,5,0,0,1.0,True,5
scene_fc_blocked_v04,FC_BLOCKED,C4_D8,89,5,5,0,0,1.0,True,5
scene_fc_blocked_v05,FC_BLOCKED,C4_D8,59,5,5,0,0,1.0,True,5
scene_fc_clear_v01,FC_CLEAR,C4_D8,53,5,5,0,0,1.0,True,5
scene_fc_clear_v02,FC_CLEAR,C4_D8,29,5,5,0,0,1.0,True,5
scene_fc_clear_v03,FC_CLEAR,C4_D8,95,5,5,0,0,1.0,True,5
scene_fc_clear_v04,FC_CLEAR,C4_D8,61,5,5,0,0,1.0,True,5
scene_fc_clear_v05,FC_CLEAR,C4_D8,62,5,5,0,0,1.0,True,5
scene_lift_and_relocate_v01,LIFT_AND_RELOCATE,C4_D8,59,5,5,0,0,1.0,True,1
scene_lift_and_relocate_v02,LIFT_AND_RELOCATE,C4_D8,70,5,5,0,0,1.0,True,5
scene_lift_and_relocate_v03,LIFT_AND_RELOCATE,C4_D8,12,5,5,0,0,1.0,True,5
scene_lift_and_relocate_v04,LIFT_AND_RELOCATE,C4_D8,68,5,1,4,0,0.2,False,0
scene_lift_and_relocate_v05,LIFT_AND_RELOCATE,C4_D8,43,5,5,0,0,1.0,True,0
scene_rotate_v01,ROTATE,C4_D8,12,5,5,0,0,1.0,True,4
scene_rotate_v02,ROTATE,C4_D8,38,5,5,0,0,1.0,True,0
scene_rotate_v03,ROTATE,C4_D8,83,5,5,0,0,1.0,True,5
scene_rotate_v04,ROTATE,C4_D8,47,5,5,0,0,1.0,True,5
scene_rotate_v05,ROTATE,C4_D8,44,5,5,0,0,1.0,True,2
scene_translate_v01,TRANSLATE,C4_D8,67,5,5,0,0,1.0,True,0
scene_translate_v02,TRANSLATE,C4_D8,45,5,5,0,0,1.0,True,5
scene_translate_v03,TRANSLATE,C4_D8,18,5,5,0,0,1.0,True,5
scene_translate_v04,TRANSLATE,C4_D8,13,5,5,0,0,1.0,True,5
scene_translate_v05,TRANSLATE,C4_D8,54,5,5,0,0,1.0,True,5
scene_fc_blocked_v01,FC_BLOCKED,C5_D4,64,5,5,0,0,1.0,True,5
scene_fc_blocked_v02,FC_BLOCKED,C5_D4,53,5,5,0,0,1.0,True,5
scene_fc_blocked_v03,FC_BLOCKED,C5_D4,12,5,5,0,0,1.0,True,5
scene_fc_blocked_v04,FC_BLOCKED,C5_D4,89,5,5,0,0,1.0,True,5
scene_fc_blocked_v05,FC_BLOCKED,C5_D4,59,5,5,0,0,1.0,True,5
scene_fc_clear_v01,FC_CLEAR,C5_D4,53,5,5,0,0,1.0,True,5
scene_fc_clear_v02,FC_CLEAR,C5_D4,29,5,5,0,0,1.0,True,5
scene_fc_clear_v03,FC_CLEAR,C5_D4,95,5,5,0,0,1.0,True,5
scene_fc_clear_v04,FC_CLEAR,C5_D4,61,5,5,0,0,1.0,True,5
scene_fc_clear_v05,FC_CLEAR,C5_D4,62,5,5,0,0,1.0,True,5
scene_lift_and_relocate_v01,LIFT_AND_RELOCATE,C5_D4,59,5,5,0,0,1.0,True,1
scene_lift_and_relocate_v02,LIFT_AND_RELOCATE,C5_D4,70,5,5,0,0,1.0,True,1
scene_lift_and_relocate_v03,LIFT_AND_RELOCATE,C5_D4,12,5,5,0,0,1.0,True,0
scene_lift_and_relocate_v04,LIFT_AND_RELOCATE,C5_D4,68,5,5,0,0,1.0,True,0
scene_lift_and_relocate_v05,LIFT_AND_RELOCATE,C5_D4,43,5,5,0,0,1.0,True,0
scene_rotate_v01,ROTATE,C5_D4,12,5,5,0,0,1.0,True,1
scene_rotate_v02,ROTATE,C5_D4,38,5,5,0,0,1.0,True,0
scene_rotate_v03,ROTATE,C5_D4,83,5,5,0,0,1.0,True,2
scene_rotate_v04,ROTATE,C5_D4,47,5,5,0,0,1.0,True,2
scene_rotate_v05,ROTATE,C5_D4,44,5,5,0,0,1.0,True,0
scene_translate_v01,TRANSLATE,C5_D4,67,5,1,4,0,0.2,False,0
scene_translate_v02,TRANSLATE,C5_D4,45,5,5,0,0,1.0,True,5
scene_translate_v03,TRANSLATE,C5_D4,18,5,5,0,0,1.0,True,5
scene_translate_v04,TRANSLATE,C5_D4,13,5,5,0,0,1.0,True,0
scene_translate_v05,TRANSLATE,C5_D4,54,5,5,0,0,1.0,True,5
scene_fc_blocked_v01,FC_BLOCKED,C5_D8,64,5,5,0,0,1.0,True,5
scene_fc_blocked_v02,FC_BLOCKED,C5_D8,53,5,5,0,0,1.0,True,5
scene_fc_blocked_v03,FC_BLOCKED,C5_D8,12,5,5,0,0,1.0,True,5
scene_fc_blocked_v04,FC_BLOCKED,C5_D8,89,5,5,0,0,1.0,True,5
scene_fc_blocked_v05,FC_BLOCKED,C5_D8,59,5,5,0,0,1.0,True,5
scene_fc_clear_v01,FC_CLEAR,C5_D8,53,5,5,0,0,1.0,True,5
scene_fc_clear_v02,FC_CLEAR,C5_D8,29,5,5,0,0,1.0,True,5
scene_fc_clear_v03,FC_CLEAR,C5_D8,95,5,5,0,0,1.0,True,5
scene_fc_clear_v04,FC_CLEAR,C5_D8,61,5,5,0,0,1.0,True,5
scene_fc_clear_v05,FC_CLEAR,C5_D8,62,5,5,0,0,1.0,True,5
scene_lift_and_relocate_v01,LIFT_AND_RELOCATE,C5_D8,59,5,5,0,0,1.0,True,4
scene_lift_and_relocate_v02,LIFT_AND_RELOCATE,C5_D8,70,5,5,0,0,1.0,True,5
scene_lift_and_relocate_v03,LIFT_AND_RELOCATE,C5_D8,12,5,5,0,0,1.0,True,0
scene_lift_and_relocate_v04,LIFT_AND_RELOCATE,C5_D8,68,5,5,0,0,1.0,True,0
scene_lift_and_relocate_v05,LIFT_AND_RELOCATE,C5_D8,43,5,5,0,0,1.0,True,1
scene_rotate_v01,ROTATE,C5_D8,12,5,5,0,0,1.0,True,4
scene_rotate_v02,ROTATE,C5_D8,38,5,5,0,0,1.0,True,4
scene_rotate_v03,ROTATE,C5_D8,83,5,5,0,0,1.0,True,5
scene_rotate_v04,ROTATE,C5_D8,47,5,5,0,0,1.0,True,4
scene_rotate_v05,ROTATE,C5_D8,44,5,5,0,0,1.0,True,0
scene_translate_v01,TRANSLATE,C5_D8,67,5,5,0,0,1.0,True,0
scene_translate_v02,TRANSLATE,C5_D8,45,5,5,0,0,1.0,True,4
scene_translate_v03,TRANSLATE,C5_D8,18,5,5,0,0,1.0,True,5
scene_translate_v04,TRANSLATE,C5_D8,13,5,5,0,0,1.0,True,0
scene_translate_v05,TRANSLATE,C5_D8,54,5,5,0,0,1.0,True,2
scene_fc_blocked_v01,FC_BLOCKED,C6_D4,64,5,5,0,0,1.0,True,5
scene_fc_blocked_v02,FC_BLOCKED,C6_D4,53,5,5,0,0,1.0,True,5
scene_fc_blocked_v03,FC_BLOCKED,C6_D4,12,5,5,0,0,1.0,True,5
scene_fc_blocked_v04,FC_BLOCKED,C6_D4,89,5,5,0,0,1.0,True,5
scene_fc_blocked_v05,FC_BLOCKED,C6_D4,59,5,5,0,0,1.0,True,5
scene_fc_clear_v01,FC_CLEAR,C6_D4,53,5,5,0,0,1.0,True,5
scene_fc_clear_v02,FC_CLEAR,C6_D4,29,5,5,0,0,1.0,True,5
scene_fc_clear_v03,FC_CLEAR,C6_D4,95,5,5,0,0,1.0,True,5
scene_fc_clear_v04,FC_CLEAR,C6_D4,61,5,5,0,0,1.0,True,5
scene_fc_clear_v05,FC_CLEAR,C6_D4,62,5,5,0,0,1.0,True,5
scene_lift_and_relocate_v01,LIFT_AND_RELOCATE,C6_D4,59,5,5,0,0,1.0,True,1
scene_lift_and_relocate_v02,LIFT_AND_RELOCATE,C6_D4,70,5,5,0,0,1.0,True,4
scene_lift_and_relocate_v03,LIFT_AND_RELOCATE,C6_D4,12,5,5,0,0,1.0,True,0
scene_lift_and_relocate_v04,LIFT_AND_RELOCATE,C6_D4,68,5,5,0,0,1.0,True,0
scene_lift_and_relocate_v05,LIFT_AND_RELOCATE,C6_D4,43,5,5,0,0,1.0,True,0
scene_rotate_v01,ROTATE,C6_D4,12,5,5,0,0,1.0,True,4
scene_rotate_v02,ROTATE,C6_D4,38,5,5,0,0,1.0,True,2
scene_rotate_v03,ROTATE,C6_D4,83,5,5,0,0,1.0,True,5
scene_rotate_v04,ROTATE,C6_D4,47,5,5,0,0,1.0,True,4
scene_rotate_v05,ROTATE,C6_D4,44,5,5,0,0,1.0,True,0
scene_translate_v01,TRANSLATE,C6_D4,67,5,5,0,0,1.0,True,0
scene_translate_v02,TRANSLATE,C6_D4,45,5,5,0,0,1.0,True,5
scene_translate_v03,TRANSLATE,C6_D4,18,5,5,0,0,1.0,True,5
scene_translate_v04,TRANSLATE,C6_D4,13,5,5,0,0,1.0,True,0
scene_translate_v05,TRANSLATE,C6_D4,54,5,5,0,0,1.0,True,1
scene_fc_blocked_v01,FC_BLOCKED,C6_D8,64,5,5,0,0,1.0,True,5
scene_fc_blocked_v02,FC_BLOCKED,C6_D8,53,5,5,0,0,1.0,True,5
scene_fc_blocked_v03,FC_BLOCKED,C6_D8,12,5,5,0,0,1.0,True,5
scene_fc_blocked_v04,FC_BLOCKED,C6_D8,89,5,5,0,0,1.0,True,5
scene_fc_blocked_v05,FC_BLOCKED,C6_D8,59,5,5,0,0,1.0,True,5
scene_fc_clear_v01,FC_CLEAR,C6_D8,53,5,5,0,0,1.0,True,5
scene_fc_clear_v02,FC_CLEAR,C6_D8,29,5,5,0,0,1.0,True,5
scene_fc_clear_v03,FC_CLEAR,C6_D8,95,5,5,0,0,1.0,True,5
scene_fc_clear_v04,FC_CLEAR,C6_D8,61,5,5,0,0,1.0,True,5
scene_fc_clear_v05,FC_CLEAR,C6_D8,62,5,5,0,0,1.0,True,5
scene_lift_and_relocate_v01,LIFT_AND_RELOCATE,C6_D8,59,5,5,0,0,1.0,True,2
scene_lift_and_relocate_v02,LIFT_AND_RELOCATE,C6_D8,70,5,5,0,0,1.0,True,1
scene_lift_and_relocate_v03,LIFT_AND_RELOCATE,C6_D8,12,5,5,0,0,1.0,True,0
scene_lift_and_relocate_v04,LIFT_AND_RELOCATE,C6_D8,68,5,5,0,0,1.0,True,0
scene_lift_and_relocate_v05,LIFT_AND_RELOCATE,C6_D8,43,5,5,0,0,1.0,True,0
scene_rotate_v01,ROTATE,C6_D8,12,5,5,0,0,1.0,True,0
scene_rotate_v02,ROTATE,C6_D8,38,5,5,0,0,1.0,True,0
scene_rotate_v03,ROTATE,C6_D8,83,5,5,0,0,1.0,True,5
scene_rotate_v04,ROTATE,C6_D8,47,5,5,0,0,1.0,True,4
scene_rotate_v05,ROTATE,C6_D8,44,5,5,0,0,1.0,True,0
scene_translate_v01,TRANSLATE,C6_D8,67,5,5,0,0,1.0,True,4
scene_translate_v02,TRANSLATE,C6_D8,45,5,5,0,0,1.0,True,5
scene_translate_v03,TRANSLATE,C6_D8,18,5,5,0,0,1.0,True,5
scene_translate_v04,TRANSLATE,C6_D8,13,5,5,0,0,1.0,True,0
scene_translate_v05,TRANSLATE,C6_D8,54,5,5,0,0,1.0,True,5
